Subsidiary ID,SF Account ID,Netsuite Product Code,netsuiteId,Quantity,Price,Date
5,0010800002yt9gWAAQ,279,,1,1.72,01/11/2022
17,0010800002ytRCsAAM,1889,,47,0.43,01/11/2022
17,0010800002ytRCsAAM,282,,47,0.95,01/11/2022
17,0010800002ytRCsAAM,279,,46,1.41,01/11/2022
5,0011p000022zpRoAAI,281,,1,1.0,01/11/2022
5,0011p000022zpRoAAI,279,,1,1.5,01/11/2022
5,0010800002s9BZkAAM,279,,2,1.58,01/11/2022
5,0010800002s9BZkAAM,291,,6,0.4,01/11/2022
15,0010800002vTIXmAAO,281,,20,0.6,01/11/2022
15,0010800002vTIXmAAO,279,,19,0.7,01/11/2022
5,0010800002vUgzoAAC,281,,46,0.43,01/11/2022
5,0010800002vUgzoAAC,279,,46,1.31,01/11/2022
5,0012400000cabqQAAQ,279,,54,1.25,01/11/2022
5,0012400000cabqQAAQ,281,,49,0.73,01/11/2022
6,0010800002xpCLjAAM,1889,294,94,0.14,01/11/2022
5,0011p00002RAEZEAA5,279,,20,1.08,01/11/2022
5,0011p00002RAEZEAA5,281,,21,0.56,01/11/2022
6,00124000014ug5WAAQ,279,,2058,0.3,01/11/2022
6,00124000014ug5WAAQ,281,,1988,0.1,01/11/2022
5,0012400000b34w8AAA,281,,42,0.42,01/11/2022
5,0012400000b34w8AAA,279,,51,0.7,01/11/2022
5,0012400000b34w8AAA,291,,127,0.14,01/11/2022
15,00108000030FlDsAAK,282,,4,1.05,01/11/2022
15,00108000030FlDsAAK,279,,4,1.05,01/11/2022
9,0012400001C4mzYAAR,278,1880,3,3.53,01/11/2022
6,0010800002seM7hAAE,282,,20,0.4,01/11/2022
6,0010800002seM7hAAE,279,,48,0.75,01/11/2022
15,001080000366Z3jAAE,279,,41,1.12,01/11/2022
15,001080000366Z3jAAE,281,,41,0.75,01/11/2022
5,0011p00002DcHcOAAV,279,,14,1.48,01/11/2022
5,0011p00002DcHcOAAV,282,,14,0.98,01/11/2022
5,0011p00002DdxTFAAZ,279,,11,1.5,01/11/2022
5,0011p00002DdxTFAAZ,291,,11,0.4,01/11/2022
5,0011p00002DdxTFAAZ,282,,11,1.1,01/11/2022
5,0011p00001MnTJTAA3,291,,4,0.3,01/11/2022
5,0011p00001MnTJTAA3,279,,2,0.92,01/11/2022
5,0011p00002GrZzpAAF,279,,12,1.37,01/11/2022
5,0011p00002GrZzpAAF,281,,5,1.22,01/11/2022
5,0011p00002GrZzpAAF,288,,4,1.37,01/11/2022
5,0011p00002cNOa3AAG,282,,56,0.95,01/11/2022
5,0011p00002cNOa3AAG,278,,56,3.53,01/11/2022
5,0011p00001UfhoqAAB,282,,5,0.81,01/11/2022
5,0011p00001UfhoqAAB,279,,5,1.21,01/11/2022
5,0012400000FhyTMAAZ,279,,156,0.79,01/11/2022
5,0012400000FhyTMAAZ,282,,83,0.52,01/11/2022
5,0012400000LILcSAAX,279,,427,1.0,01/11/2022
5,0012400000LILcSAAX,282,,430,0.82,01/11/2022
5,0010800002tkZJDAA2,279,,43,1.5,01/11/2022
5,0011p00002gGaveAAC,279,,137,1.0,01/11/2022
5,00108000031YGmiAAG,289,,2,5.0,01/11/2022
5,0011p00001ZfnsfAAB,279,,2,1.24,01/11/2022
5,00108000036wJErAAM,279,,1,1.42,01/11/2022
5,0011p00002btPb8AAE,279,,48,0.71,01/11/2022
10,00108000036tvYCAAY,1889,,64,3.5,01/11/2022
5,0011p00002lZJw5AAG,281,,30,0.78,01/11/2022
5,0011p00002lZJw5AAG,3653,,30,0.65,01/11/2022
5,0011p00002lZJw5AAG,279,,30,1.33,01/11/2022
15,0010800002y0R4UAAU,281,,1,0.28,01/11/2022
15,0010800002y0R4UAAU,1889,,1,0.15,01/11/2022
15,0010800002y0R4UAAU,279,,1,0.42,01/11/2022
5,0012400000t0rCEAAY,279,,524,1.23,01/11/2022
5,0012400000t0rCEAAY,281,,265,0.59,01/11/2022
5,0012400000t0rCEAAY,1889,,116,0.42,01/11/2022
9,0011p00002dwoIZAAY,281,,5,0.58,01/11/2022
9,0011p00002dwoIZAAY,279,,8,0.96,01/11/2022
5,0011p00002gEp5UAAS,279,,49,1.5,01/11/2022
5,0010800002qtmh3AAA,279,,12,1.09,01/11/2022
5,0010800002qtmh3AAA,291,,12,0.28,01/11/2022
5,0011p00002l4qqVAAQ,281,,25,0.62,01/11/2022
5,0011p00001f4I4TAAU,278,,134,3.53,01/11/2022
5,0011p00001f4I4TAAU,281,,58,0.65,01/11/2022
9,0011p00001Ug93DAAR,1889,,133,0.2,01/11/2022
9,0011p00001Ug93DAAR,281,,133,0.51,01/11/2022
9,0011p00001Ug93DAAR,278,,133,3.53,01/11/2022
5,0011p00002dFw86AAC,3653,,5721,0.32,01/11/2022
5,0011p00002dFw86AAC,279,,25,2.56,01/11/2022
17,0012400000JnwnEAAR,291,,612,0.17,01/11/2022
6,0010800002xyj3rAAA,279,,1,1.11,01/11/2022
6,0010800002xyj3rAAA,281,,1,0.67,01/11/2022
6,0010800002xyj3rAAA,291,,28,0.3,01/11/2022
15,0010800002qrddKAAQ,279,,1,0.9,01/11/2022
15,0010800002qrddKAAQ,281,,1,0.5,01/11/2022
5,0011p00002dGSb4AAG,279,,119,0.95,01/11/2022
5,0011p00002dGSb4AAG,282,,119,0.72,01/11/2022
5,00108000036utrZAAQ,279,,6,1.16,01/11/2022
5,00108000036utrZAAQ,291,,15,0.22,01/11/2022
5,0011p00002bwdRNAAY,3653,,20,0.49,01/11/2022
5,0011p00002bwdRNAAY,280,,37,0.55,01/11/2022
9,0011p00001lthIGAAY,281,,79,0.53,01/11/2022
9,0011p00001lthIGAAY,279,,3363,0.7,01/11/2022
5,0012400000cQShvAAG,278,294,49,3.53,01/11/2022
